productName,brand,price,currency,GTIN
Taco Spice Mix,SANTA MARIA,29.95,SEK,7311310031039
Balsam Anti-Break,ELVITAL,35.95,SEK,3600522870586
Mango Chutney Sweet,GARANT,26.95,SEK,7340083433603
Bregott Brynt Smör & Rapsolja,BREGOTT,42.95,SEK,7311877016708
Bok Stormberget,CAPTECH,229,SEK,9789164208842
Ananas Krossad,DOLE,24.95,SEK,38900015329
Knäckebröd Din Stund Chia/Havssalt,WASA,35.95,SEK,7300400482691
Bok Vilseledaren,CAPTECH,79,SEK,9789137158693
Lantbröd Glutenfri,SEMPER,38.95,SEK,7310100558480
Bok Döda Kvinnor Förlåter Inte,CAPTECH,79,SEK,9789189750081
Rostade & Saltade Pumpakärnor,RISENTA,36.95,SEK,7312631211407
Donuts Choklad 5-Pack,CITY GROSS,39.95,SEK,2000946800007
Rödvinbärsgelé KRAV,TORFOLK GÅRD,35.95,SEK,7391961242091
Hushållspapper Extra Long,LAMBI,30.95,SEK,6414301049646
Donuts Jordgubb 5-Pack,CITY GROSS,39.95,SEK,2000946900004
Vitost Hel Bit 20%,APETINA,24.95,SEK,5760466642019
Ingefära Pressad EKO,GARANT EKO,49.95,SEK,7340083481246
Aubergine Strimlad,GARANT,34.95,SEK,7340083480959
Finkrossade Tomtater,GARANT,29.95,SEK,7340083480973
Kantareller,ELDORADO,23.95,SEK,7340083480980
Smoothie Persika & Passion,FROOSH,25.5,SEK,7350020724114
Körsbärstomater,GARANT,18.95,SEK,7340083480997
Sojadryck Kalciumberikad,ALPRO,21.95,SEK,5411188115472
Lunchkorv Kyckling Stark,ROBERT,86.95,SEK,5701758012011
Påskbakelse 2-Pack,CITY GROSS,64.95,SEK,2000942400003
Tortilla Pockets 8-Pack,OLD EL PASO,39.95,SEK,8410076474650
Herrgård 28% 6 Mån,SKÅNEMEJERIER,63.95,SEK,7393720091957
Präst Mellanlagrad 35& 6 Mån,SKÅNEMEJERIER,63.95,SEK,7393720091964
Sojadryck Naturell Osötad,ALPRO,21.95,SEK,5411188115496
Grevé 6 Mån,SKÅNEMEJERIER,63.95,SEK,7393720091971
Tonfisk I Olja,GARANT,13.95,SEK,7340083481376
Fiskbullar Dillsås,ABBA,26.5,SEK,7311170041346
Rizla Flavour Card Menthol 25-Pack,RIZLA,239,SEK,4030700129820
Dammsugarpåsar Y101 MP+ Green,SWIRL,99.95,SEK,4006508220939
Chokladkaka Japp Peanut Caramel,MARABOU,39.95,SEK,7622210712035
Bok Älska Dig Länge,BUTIKSSTYCKAT SVENSKT KÖTT,229,SEK,9789137156095
Rizla Flavour Card Mint 1-Pack,RIZLA,10.95,SEK,4030700129844
Rizla Flavour Card Mint 25-Pack,RIZLA,239,SEK,4030700129851
Murgröna,BLOMSTERBODA,64.95,SEK,7315800121200
Ketjap Manis Söt Soja,SANTA MARIA,52.95,SEK,7311310046439
Blue Stark White Portion,KNOX,35.95,SEK,7330196006689
Rödbetor I Påse, Klass 1,GARANT,24.95,SEK,7311041052075
Extraordinary Oil Shampoo,ELVITAL,37.95,SEK,3600522448198
Dammsugarpåsar S67 MP+ Green,SWIRL,99.95,SEK,4006508220861
Blue Stark White Portion Stock,KNOX,329,SEK,7330196006696
Sesamfrön Oskalade,RISENTA,35.95,SEK,7311311024665
Mathavre EKO KRAV,FREBACO KVARN,14.95,SEK,7312560034214
Bok Jag Kommer Att Hitta Nyckeln,CAPTECH,79,SEK,9789100802165
Balsam Extraordinery Oil,ELVITAL,37.95,SEK,3600522713456
Skåne Stark Portion,LUNDGRENS,40.95,SEK,7350106395818
Pumpakärnor,RISENTA,39.95,SEK,7311311024672
Bok Den Italienska Flickan,CAPTECH,229,SEK,9789180063203
Skåne Stark Portion Stock,LUNDGRENS,369,SEK,7350106395825
Solroskärnor,RISENTA,24.95,SEK,7311311024689
Riesling,CARL JUNG,54.95,SEK,4009427885159
Chiafrön,RISENTA,57.95,SEK,7311311024702
Sesamfrön Svarta,RISENTA,46.95,SEK,7311311024719
Chokladmoussetårta,City Gross,299,SEK,2000947900003
Bok Fågeldagbok 2024,CAPTECH,229,SEK,9789178875726
Granola Choklad,GARANT,43.95,SEK,7340083481147
Vallmofrön,RISENTA,68.95,SEK,7311311024726
Carl Jung Merlot,CARL JUNG,54.95,SEK,4009427825148
Rapsolja Kallpressad,GUNNARSHÖGS GÅRD,107,SEK,7394482001208
Sweet Chilisås Mindre Socker,SANTA MARIA,26.5,SEK,7311310034405
Donuts Sockrade 5-Pack,CITY GROSS,39.95,SEK,2000947200004
Pasta Capellini EKO,GARANT EKO,18.95,SEK,7340083481192
Dammsugarpåsar Ph86/96 MP+ Green,SWIRL,99.95,SEK,4006508220830
Dammsugarpåsar Y05 MP+ Green,SWIRL,99.95,SEK,4006508220908
On! Mint Portion,ON!,42.95,SEK,73165293
Smör Normalsaltat 80%,VALIO,31.95,SEK,6408432201462
On! Mint Portion Stock,ON!,179,SEK,7350063271262
Vitmögelost White Pink Pepper,CASTELLO,37.95,SEK,5711953123108
Baba Ghannouge,SEVAN,29.95,SEK,7331217014027
Lingonsylt KRAV,TORFOLK GÅRD,62.95,SEK,7391961111847
Potatis Mjölig, Klass 1,None,34.95,SEK,7331364008214
Cider Äpple Alkoholfri,HERRLJUNGA,17.95,SEK,7312720021238
Fruktdryck Ananas & Passion Koncentrat,KIVIKS MUSTERI,7.95,SEK,7314720727219
